43;1949-1951;Всесоюзный государственный трест по изысканиям и проектированию оросительных систем и гидротехнических сооружений РостовдонводпроектМинистерства сельского хозяйства СССР
;1951-1968;Южный государственный институт  по проектированию водохозяйственного и мелиоративного строительства Южгипроводхоз Министерства сельского хозяйства СССР Министерства сельского хозяйства РСФСР Государственного комитета Совета Министров РСФСР по водному хозяйству Министерства мелиорации и водного хозяйства РСФСР  
;1969-1991;Южный государственный институт  по проектированию водохозяйственного и мелиоративного строительства Министерства мелиорации и водного хозяйства РСФСР  
44;1943-1955;Ростовская межрайонная живконтора
45;1958-1972;Ростовская госстанция искусственного осеменения пос Аглос
46;1949-1951;Промкомбинат Ростовского отделения Союзсовхозснаб
47;1933-1957;Ростовское отделение Союзсовхозсмнаб
48;1944-1947;Ростовская областная контора Сельобозпромснаб
49;1943-1953;Ростовская областная контора Сельхозснаб
50;1944-1949;Молотовская лесозаготовительная контора Сельхозснаб
51;1948-1949;Сталинградская лесоперевалочная база Сельхозснаб
;1951-1956;Сталинградская хозрасчетная лесоперевалочная база Ростовской лесозаготовительной конторы
52;1946-1955;Ростовское отделение Сельхозснаб
53;1956-1958;Ростовское межрайонное отделениеуправления МТС Сельхозснаб
54;1954-1957;Каменская областная контора  МТС Сельхозснаб
55;1952-1958;Константиновская межрайонное отделение  МТС Сельхозснаб
56;1953-1960;Управление материально-технического снабжения Сельхозснаб
57;1943-1947;Ростовская областная контора Глававтотракторосбыт
;1948-1949;Ростовская областная контора Глававтосельмашснаб
;1949-1952;Ростовская областная контора Глававтотракторсбыт
;1953-1954;Ростовская областная контора Главмашсбыт
;1954-1959;Ростовская областная контора Глававтотрактороснабсбыт
;1959-1960;Ростовская областная контора-база Росглававтотрактороснабсбыт
;1960-1961;Ростовская областная специализированная база Главторгмаш
;1961-1977;Ростовская специализированная завозная база Сельхозтехника
58;1960-1961;Ростовское областное управление Главторгмаш
59;1961-1985;Ростовское областное объединение Сельхозтехника
;1986;Ростовское областное производственное объединение по производственно-техническому обеспечению сельского хозяйства Ростоблсельхозтехника
60;1945-1960;Ростовское межрайонное отделение Глававтотракторсбыт
;1960-1961;Специализированные магазины № 1 и № 2 Главторгмаша
;1961-1979;Ростовский городской специализированный магазин № 2 Сельхозтехника
61;1968-1973;Специализированное управление 2 Управления Ростсельстрой
;1973-1988;Специализированная передвижная механизированная  колонна 1045 Ростсельстроя 
62;1968-1970;Ростовское ремонтно-строительное и монтажное управление Ростовремстроймонтаж
63;1968-1988;ПМК 735 Ростсельстроя 
64;1975-1981;Магазин 64 Ростовского Горпромторга
;1982-1990;Магазин 15 Ростовского Объединения комиссионных магазинов 
;янв1991-февр1992;Арендное предприятие Комиссионный магазин Авто-Ретро
;1992-1997;ТОО Авто Ретро
65;1945-1955;Ростовская городская инспекция  по семенному контролю и карантину сельскохозяйственных растений
;1956-1969;Городская контрольно-семенная лаборатория
;1969-1981;Городская государственная семенная инспекция
66;1942-1947;Ростовское областное отделение Сортсемовощ
;1947-1964;Ростовская областная контора Сортсемовощ
;1964-1986;Ростовское областное объединение Сортсемовощ
67;1943-1959;Каменская контора Сортсемовощ
68;1971-1986;Институт РоспроектсельстройиндустрияМинистерства сельского строительства РСФСР
;1986-1993;Институт Роспроектагропромстройиндустрия Государственного агропромышленного комитета РСФСР
;1993-1995;Акционерное общество открытого типа Российский проектный институт Стройиндустрия 
;1995-май 2002;Открытое Акционерное общество Российский проектный институт Стройиндустрия 
;Май 2002-2012;Закрытое акционерное общество Ростовский проектный институт Стройиндустрия
69;1963-1971;Машинно-счетная станция Областного объединения Сельхозтехника
;1972-1985;Информационно-вычислительный центрОбластного объединения Сельхозтехника
;1986;Информационно-вычислительный центр Ростовагропромснаб
70;1968-1973;Дирекция строящихся птицефабрик Ростовской области Ростовского треста Птицепром
71;1943-1958;Ростовская межрайонная контора Заготскот Главзаготскот Юга 
;;Министерства мясной и молочной промышленности РСФСР 
;1958-1962;Ростовская межрайонная контора ЗаготскотокормУправления  мясной и птицеперерабатывающей промышленности Ростовского совнархоза
;1963-1965;2-ое отделение Батайского откормомочного совхоза Ростовского треста треста Скотооткорм
;1965-1980;Откормочный совхоз Аксайский Ростовского треста Скотооткорм с 1970г-Скотопром с 1980г- Ростовского областного производственного объединения Ростовскотопром
;1981-1991;Откормочный совхоз Темерницкий Ростовского областного производственного управления сельского хозяйства с 1984г Управления сельского хозяйства Аксайского райисполкома -
;1992-2000;Коллективное сельскохозяйственное предприятие АОЗТ Темерницкое
;2001-2002;ООО Темерницкое док-тов нет
72;1945-1965;Ростовский областной филиал ВЗУК
73;1963-1973;Ростовская областная рыбоводно-мелиоративная станция
;1974-2004;Ростовская областная производственная рыбоводно-мелиоративная станция
74;1943-1947;Электроремонтный заводРостовского областного земельного отдела
;1948-1958;Электроремонтный завод Управления сельского хозяйства Ростоблисполкома
;1959-1960;Электромеханический завод Управления сельхозмашиностроения Ростовского совнархоза
